q3,age,q4,q61,q9,q10,q11
1,60,10,9,10,1,2
2,19,10,5,7,2,5
1,60,10,8,3,1,2
1,49,10,9,10,1,2
1,39,10,5,6,3,1
1,31,10,9,10,1,5
1,29,10,9,8,1,1
1,48,10,5,10,1,2
2,66,10,8,5,1,2
1,33,10,6,7,1,2
1,46,10,9,8,1,1
2,72,10,7,10,1,1
2,46,6,9,2,2,-9
1,46,10,9,10,1,5
1,69,10,7,5,1,2
2,45,10,10,10,1,1
2,50,10,5,8,1,-8
1,39,10,9,10,2,2
1,37,10,9,9,1,2
1,33,10,10,8,1,1
2,40,10,9,8,1,1
1,54,10,9,10,1,2
1,43,10,11,7,1,2
1,22,10,7,9,2,3
1,24,10,9,7,1,3
1,57,10,9,8,1,2
1,34,10,7,10,1,3
1,27,9,10,6,1,10
2,56,10,7,9,1,3
1,44,10,5,8,1,-9
2,40,10,7,10,1,1
1,55,10,9,10,1,2
2,44,10,6,7,2,-9
1,82,10,10,8,1,1
1,48,10,9,7,1,2
1,62,10,5,7,3,1
1,58,10,4,2,-9,NA
1,24,10,9,7,1,2
1,23,10,9,10,1,1
2,71,9,7,10,1,-9
1,59,9,7,10,1,-8
2,67,9,7,10,1,-9
2,32,9,5,7,1,-9
1,56,9,9,9,1,2
1,20,10,8,8,1,-9
1,51,9,7,10,1,2
1,64,9,9,5,1,5
1,41,9,10,10,1,-9
1,37,9,10,10,1,2
1,65,9,5,6,1,-9
1,73,10,7,9,1,-9
1,26,9,9,10,1,2
2,74,9,9,7,1,3
2,37,9,11,9,1,2
1,58,9,5,8,1,2
1,45,9,9,3,3,-8
2,33,9,9,10,1,1
1,31,9,7,10,1,-9
1,33,9,10,7,1,2
2,23,9,8,6,2,3
1,64,9,7,10,1,2
1,39,9,5,10,1,2
2,32,9,10,10,1,1
1,79,9,11,7,1,1
1,31,10,9,1,3,-9
2,36,9,9,10,1,1
1,42,9,7,7,1,-9
1,53,9,5,7,1,-9
1,44,9,4,10,1,2
2,35,9,7,10,1,2
1,41,9,4,10,1,2
2,56,9,8,10,1,2
1,32,9,9,9,1,2
1,43,9,6,10,1,2
1,73,9,7,7,1,-9
1,57,9,4,2,4,NA
2,60,9,7,9,1,2
1,68,9,7,9,1,2
1,51,9,7,10,1,2
1,36,9,9,6,1,-9
2,29,9,7,9,1,2
1,55,9,7,8,1,2
1,59,9,7,7,1,-9
2,49,9,7,9,1,-9
1,25,9,7,6,2,3
1,36,9,7,10,1,2
1,73,9,11,10,2,2
1,39,7,5,5,2,3
1,61,7,10,10,1,2
1,50,7,7,7,1,-9
2,40,7,9,7,1,2
2,39,7,11,10,1,-8
1,34,7,9,9,1,2
2,53,7,7,5,2,3
1,40,7,7,10,1,2
2,43,7,8,1,1,-9
1,41,7,9,7,5,-8
2,52,7,7,8,5,3
1,56,7,10,5,1,10
1,45,7,9,5,1,-9
1,23,7,4,8,1,2
1,24,7,8,7,1,3
2,50,7,9,8,2,3
2,63,7,9,2,1,2
1,30,7,7,5,2,-9
1,59,7,8,7,2,2
2,66,7,5,4,1,2
2,74,7,8,9,1,2
1,62,7,9,8,1,2
1,61,7,10,7,1,1
1,33,7,10,9,1,5
2,29,7,8,7,1,2
1,44,7,10,8,1,3
1,40,7,11,5,1,-9
2,64,7,7,8,1,-9
2,47,7,9,9,1,1
1,45,7,9,3,1,1
1,67,7,5,8,1,-9
1,27,7,7,7,1,1
1,49,7,8,6,1,2
2,24,7,8,8,1,-9
1,76,7,11,10,1,1
2,37,7,9,10,1,-9
1,36,7,11,7,1,3
2,32,8,7,8,2,2
1,39,8,7,10,1,2
1,54,8,7,10,1,2
2,19,8,5,9,1,1
2,33,8,9,10,1,-8
1,54,8,5,10,1,-9
1,56,8,11,7,1,2
2,29,8,9,8,1,-9
2,48,8,10,7,4,NA
2,25,8,8,0,1,-9
2,29,8,8,5,1,3
1,67,8,9,8,1,1
2,38,8,10,8,1,3
1,56,8,5,10,1,-9
1,43,8,9,7,1,2
2,31,8,9,7,1,-9
1,33,8,5,8,1,-9
1,61,8,7,9,1,2
1,70,8,2,10,2,2
1,64,8,2,10,1,3
1,31,8,7,0,3,-9
2,44,8,9,8,1,3
1,32,8,5,5,1,2
2,38,8,8,9,1,3
1,30,8,6,10,1,3
1,33,8,9,10,1,-9
1,58,8,5,7,1,-8
1,27,5,10,9,1,2
1,32,8,7,2,3,-9
2,86,8,10,10,1,1
2,44,1,9,9,1,-9
1,22,1,7,8,2,3
2,49,1,11,7,1,-9
1,31,1,9,10,1,3
1,19,1,5,10,1,2
1,59,1,4,4,2,2
1,70,1,4,3,1,-9
1,21,1,5,7,1,3
1,64,1,7,5,1,-8
1,38,1,7,9,1,1
1,65,4,5,8,1,-8
1,37,1,5,9,1,2
1,72,1,3,7,1,1
1,78,1,4,5,1,-9
1,54,1,10,10,1,1
1,70,1,4,3,1,-9
1,23,1,9,9,1,1
2,62,1,5,6,1,-9
1,56,1,4,10,1,5
1,48,1,7,10,2,2
2,40,1,7,8,1,1
1,48,1,11,10,1,5
2,50,1,7,5,1,-9
1,33,1,7,6,2,-9
2,43,1,7,10,1,3
2,22,6,9,10,1,1
2,63,2,8,0,1,1
2,43,2,6,6,2,5
1,33,2,7,4,3,-9
2,59,2,5,7,1,-9
2,62,2,5,5,1,2
1,31,9,11,7,3,2
2,40,2,10,8,1,-9
1,57,2,6,5,1,-9
2,53,2,10,5,1,-9
1,27,2,9,8,1,-9
1,41,2,7,8,1,5
2,18,2,5,7,1,2
2,31,2,6,4,1,5
2,41,2,10,8,1,1
2,61,2,7,9,1,5
1,48,2,5,8,1,2
2,63,2,5,2,2,-9
2,52,6,4,1,4,NA
1,50,2,8,10,1,2
1,29,3,10,9,1,1
1,36,9,5,10,1,2
2,38,3,5,7,1,1
2,32,3,10,10,1,-9
1,73,3,10,10,1,2
1,32,3,9,10,4,NA
2,60,3,9,10,1,3
1,55,3,6,10,1,-8
1,27,3,7,5,2,5
2,60,3,7,4,1,1
2,20,3,5,0,2,5
1,32,3,11,10,1,2
1,58,3,7,8,5,3
2,36,3,7,5,1,7
2,20,3,5,8,1,3
1,27,3,9,9,1,1
2,23,3,9,10,1,5
1,26,3,7,4,1,3
2,70,3,10,8,1,1
1,67,3,7,10,1,5
1,75,3,11,9,5,1
1,22,3,7,10,1,1
2,64,3,10,8,1,1
1,31,3,5,8,1,-9
2,53,3,9,7,1,2
2,42,3,7,10,1,-9
2,37,3,8,10,1,3
2,70,5,5,5,1,1
1,64,4,7,10,1,2
2,37,7,9,10,1,2
1,69,4,7,10,1,2
2,64,4,7,0,1,1
1,67,4,9,7,1,1
1,28,4,9,8,1,2
1,33,6,11,5,1,1
1,33,4,9,8,1,-9
2,23,4,6,4,2,-9
1,20,4,4,6,1,-9
2,42,4,9,5,2,1
1,24,4,8,9,1,1
1,40,4,9,8,1,5
1,67,4,8,7,1,-9
1,65,4,11,10,1,2
2,39,4,10,8,1,1
2,40,4,5,0,4,NA
2,30,4,9,3,1,-9
1,69,4,5,5,2,5
1,41,4,11,3,1,-9
1,25,4,6,5,1,-9
1,27,4,9,4,1,2
1,49,10,7,7,1,-9
1,37,10,7,3,2,1
1,39,10,5,8,1,1
1,69,9,4,10,1,-9
1,69,10,9,10,1,3
1,42,10,8,9,1,-9
1,49,10,8,10,1,5
2,40,10,7,7,2,2
2,38,10,9,10,1,3
2,33,10,7,7,1,-9
1,65,10,8,3,1,5
1,49,10,9,3,2,-9
1,41,10,9,4,2,-9
1,57,10,9,4,2,1
1,43,10,6,10,1,-8
2,35,10,6,7,1,1
1,66,10,11,7,1,2
1,60,10,5,7,2,3
2,82,10,5,7,2,-9
1,58,10,5,9,1,2
1,72,10,10,9,1,3
1,44,10,9,9,1,5
1,69,10,10,10,1,-9
1,56,10,7,4,1,-9
2,53,10,9,10,1,-9
1,73,10,9,10,5,2
2,68,10,10,10,1,5
1,77,10,4,8,1,-8
1,58,10,7,0,4,NA
1,56,10,5,9,1,3
1,73,10,9,10,1,1
1,36,10,7,10,1,6
1,40,10,11,8,1,3
1,61,10,8,7,2,3
1,42,10,9,3,1,3
2,31,10,10,10,1,1
1,33,10,9,7,1,1
1,32,10,7,8,1,6
2,26,10,9,10,1,1
1,74,10,9,7,1,1
1,19,10,5,6,1,-9
1,45,10,7,8,1,1
2,65,10,10,8,1,-9
2,42,10,11,8,1,5
1,52,10,7,10,2,5
1,72,10,7,10,1,-8
1,73,10,9,5,1,-8
1,33,10,11,6,1,1
1,56,10,9,5,2,-9
1,42,10,10,8,2,2
2,26,10,9,3,3,-9
2,50,10,5,10,2,1
1,57,10,3,4,4,NA
2,65,10,6,5,1,-9
1,62,10,9,10,2,2
1,73,10,7,6,1,-9
1,34,10,7,9,1,2
1,41,10,5,7,1,-9
2,40,10,9,8,1,2
1,58,10,5,10,1,5
1,74,10,11,10,1,5
2,50,10,6,8,2,1
1,59,10,7,9,1,-9
1,53,10,7,0,2,3
1,48,10,9,9,1,5
1,43,10,6,10,2,7
1,36,10,10,7,1,3
2,65,10,8,9,1,-9
1,65,10,7,3,2,-9
1,21,10,8,6,2,1
1,49,4,9,10,1,1
2,74,4,4,5,1,-9
1,21,4,-9,10,2,6
1,38,4,11,7,1,-9
1,34,4,7,2,2,-9
1,32,4,5,0,1,-9
2,54,4,11,10,1,2
1,42,4,7,7,1,-9
2,28,4,8,10,1,1
1,55,4,10,7,1,3
2,53,4,9,10,1,-8
2,41,4,7,8,1,2
2,56,4,10,10,1,5
1,56,4,6,5,1,-9
2,64,4,4,10,1,1
1,49,4,10,7,1,-9
1,38,4,9,8,1,-9
2,55,4,11,9,1,-9
1,26,4,7,10,1,3
1,43,4,9,8,1,-9
1,42,4,9,4,1,1
1,76,4,9,10,1,1
1,53,4,7,8,1,-9
2,18,4,8,7,1,5
2,24,4,8,5,1,2
1,20,3,6,8,1,2
2,49,4,8,10,1,6
1,30,4,5,7,1,2
1,72,4,8,7,1,-9
2,45,4,9,8,1,1
1,49,4,8,8,1,1
2,76,3,6,8,-8,NA
1,64,1,7,8,1,-9
1,29,1,7,10,1,2
2,46,1,7,9,1,3
2,67,1,7,7,1,-9
2,80,1,10,10,1,1
1,61,1,10,5,3,1
2,42,1,8,10,2,-9
2,24,1,7,6,1,7
1,42,1,4,10,1,3
1,39,1,4,10,1,-8
1,57,1,6,8,1,2
1,55,1,5,9,1,1
1,46,1,9,7,1,-9
1,27,1,5,4,3,-8
1,42,1,7,3,1,-9
1,46,1,9,10,1,1
2,22,1,7,0,4,NA
2,75,6,9,7,1,2
1,57,1,10,6,1,1
1,40,1,9,2,1,-9
1,35,1,7,6,1,1
1,31,1,6,5,2,-9
2,34,1,11,10,1,1
1,22,1,6,3,2,3
1,54,1,5,8,1,1
2,25,1,6,10,1,-9
1,59,1,9,10,1,1
2,25,3,8,8,1,1
2,58,3,7,10,1,2
1,32,3,10,7,1,-8
2,18,3,5,9,1,3
1,55,3,5,7,1,1
1,47,3,7,6,1,5
2,20,3,8,5,2,3
1,55,3,5,8,1,1
2,48,4,7,0,4,NA
1,37,3,9,7,1,2
1,68,3,6,10,1,-8
1,47,3,9,10,2,2
1,23,3,5,6,2,3
1,71,3,9,10,1,2
1,59,3,7,6,1,2
2,56,3,9,9,1,2
2,46,3,9,6,1,1
2,61,3,9,7,1,3
1,81,3,4,7,2,-8
1,54,3,7,7,2,10
2,60,2,9,4,1,-9
1,60,2,7,10,1,-9
1,58,2,9,6,1,1
2,37,2,7,10,1,5
1,67,2,5,7,1,1
2,74,2,5,-9,1,1
1,48,2,5,4,2,5
1,58,2,-8,6,1,-9
2,35,2,7,10,1,-9
1,49,2,7,7,1,2
1,76,2,11,7,1,-9
1,18,2,6,9,1,2
2,38,2,10,6,5,3
2,28,2,9,7,1,5
2,29,2,5,7,2,1
1,55,2,6,8,2,2
2,65,2,8,10,1,-8
1,39,2,9,6,1,6
2,33,2,9,7,1,3
1,46,2,9,8,1,1
2,47,2,9,9,1,1
2,24,2,5,8,1,3
1,51,2,7,8,1,-9
2,39,2,5,4,1,5
2,30,2,7,5,1,-8
1,33,2,5,0,2,-9
2,28,2,10,7,1,-9
1,59,7,3,2,4,NA
1,48,2,9,10,1,-9
1,37,2,5,6,2,2
1,69,2,7,6,1,2
1,69,7,10,8,1,1
1,74,7,10,9,1,2
1,24,7,9,0,1,-9
1,51,7,9,6,1,-9
1,59,7,10,8,1,-9
1,50,7,9,8,1,2
2,76,7,8,7,1,1
1,30,7,5,8,1,-9
1,60,7,8,10,1,2
2,57,7,5,7,1,5
1,21,7,5,6,3,-9
1,49,7,5,7,1,2
1,28,7,6,5,1,2
2,53,7,6,10,1,2
1,62,7,5,8,1,2
2,38,9,7,6,1,-9
1,39,7,5,5,2,-9
1,45,7,7,8,1,-8
1,29,7,4,0,2,-9
1,54,7,10,9,1,3
1,42,7,6,7,1,1
1,52,7,5,8,1,-9
2,44,7,9,10,1,1
2,54,7,9,9,1,1
1,57,7,6,9,1,2
2,21,7,9,3,1,3
1,50,7,10,8,1,2
1,60,7,8,4,2,5
2,77,7,5,8,1,1
1,62,7,7,8,1,2
2,19,7,5,6,1,-9
2,32,7,10,10,1,3
1,47,8,6,10,1,2
2,40,10,10,7,1,1
1,42,8,7,10,5,2
2,35,8,8,10,1,-8
2,39,8,9,8,1,2
1,22,8,5,10,1,-9
1,58,8,7,10,1,6
2,43,8,9,7,1,-9
1,28,8,9,8,1,-9
2,84,8,8,10,1,-9
1,26,8,5,10,1,2
2,51,8,11,10,1,2
2,25,6,9,9,1,1
1,41,8,7,8,1,6
2,63,8,7,8,1,-9
2,55,8,7,0,1,2
1,62,8,7,7,1,2
1,77,8,5,8,1,2
1,25,9,7,8,1,2
2,36,8,9,6,1,-9
2,48,8,9,4,1,3
1,49,8,-9,8,1,2
1,41,8,7,8,1,2
2,34,8,8,9,1,1
1,43,8,7,10,1,-9
1,30,8,9,8,1,1
1,22,8,9,8,1,2
1,33,8,5,10,1,2
1,49,8,5,5,2,2
2,55,8,10,9,1,2
1,27,8,8,10,1,2
1,53,8,9,6,1,2
1,42,8,7,8,1,2
2,20,8,5,8,1,-9
1,19,8,4,8,1,2
1,76,8,5,5,1,6
1,46,8,7,8,2,-9
2,23,8,8,6,1,-8
1,57,2,11,9,1,5
1,53,9,10,10,1,2
2,63,9,8,10,1,2
1,45,10,7,10,1,2
1,67,10,5,2,3,-9
1,70,10,10,8,1,1
1,69,10,7,9,1,-9
1,61,10,5,5,1,2
2,75,10,9,10,1,1
1,73,10,9,10,1,3
2,67,10,11,9,1,2
1,70,10,10,7,2,-8
1,74,10,10,8,1,5
1,48,10,4,10,1,2
2,57,7,5,5,1,1
2,41,7,4,7,1,-9
2,59,7,8,7,1,3
1,67,7,7,4,1,5
2,65,7,9,10,1,2
2,57,7,4,6,1,3
2,62,7,9,7,1,-9
1,68,7,5,5,1,2
1,70,7,9,8,1,2
2,44,7,10,8,1,1
1,65,7,8,10,1,2
1,94,7,6,10,1,2
2,67,7,7,-9,1,-9
2,46,4,9,5,1,-9
1,76,4,4,10,1,-9
1,36,4,9,9,2,6
1,56,4,7,10,1,-8
2,54,4,7,5,1,-9
1,60,4,7,10,1,2
2,62,4,10,10,1,5
1,83,4,9,10,1,-9
2,69,4,9,7,1,1
1,57,1,5,3,1,2
1,61,1,7,10,1,2
2,61,1,7,8,1,3
2,85,3,5,8,1,1
1,22,3,8,8,1,1
2,44,3,9,6,1,-9
1,60,3,7,1,3,-9
2,75,3,10,8,1,1
1,64,3,9,8,1,-8
2,86,3,5,8,1,-9
1,60,3,6,10,1,2
2,69,2,7,9,1,1
1,45,2,7,8,1,2
2,87,2,4,5,1,1
2,65,2,9,10,1,1
1,69,2,4,10,1,1
2,61,2,9,10,1,-9
2,46,2,7,6,1,-8
1,66,2,9,10,1,1
2,69,2,3,6,1,-9
1,63,2,10,9,1,1
1,57,2,11,10,1,1
2,69,2,4,5,1,1
2,44,8,7,8,1,3
2,62,8,7,7,1,2
2,63,8,8,10,1,3
1,67,8,11,10,1,9
1,71,8,7,6,1,-9
2,67,8,5,8,1,2
2,67,10,7,7,1,-8
2,52,10,9,6,1,5
1,75,10,6,10,1,2
1,71,10,8,10,1,2
2,68,10,7,9,1,-9
1,69,10,7,10,1,2
2,60,10,7,10,1,-9
2,62,10,10,5,4,NA
2,38,10,6,8,1,-9
1,42,10,8,7,1,-9
2,61,10,4,10,1,2
1,78,10,10,10,1,5
1,73,10,11,9,1,5
2,71,10,7,9,1,5
2,51,10,7,5,1,-9
1,48,7,9,8,1,1
1,41,7,9,8,1,-9
2,78,7,2,-8,2,2
1,42,7,4,6,1,3
2,63,7,10,10,1,1
1,80,7,4,0,4,NA
1,39,7,9,7,2,2
1,54,7,6,9,2,2
2,71,7,6,9,1,-8
1,73,7,10,7,1,-9
2,86,7,4,9,1,2
2,51,7,9,9,1,-9
1,48,7,7,10,1,2
2,81,7,7,5,1,-9
1,66,7,9,7,2,2
1,50,7,5,4,2,2
2,65,7,7,10,1,1
1,44,4,9,10,1,1
2,66,4,7,10,1,1
1,65,4,5,8,1,2
1,34,4,6,10,1,1
2,73,4,3,10,1,1
2,73,4,11,9,1,-8
1,44,4,5,0,4,NA
2,54,4,8,8,1,2
2,71,4,9,1,1,2
1,37,4,9,6,1,-9
2,63,4,5,6,1,2
1,65,4,7,5,1,-9
1,46,1,2,10,1,2
1,64,1,10,5,1,1
1,36,1,7,8,1,2
1,43,1,5,10,1,2
2,77,1,7,5,1,3
1,65,1,6,10,1,9
1,44,1,7,6,1,1
1,68,1,8,8,1,2
1,55,1,7,9,1,-9
2,76,1,8,10,2,1
1,63,1,8,6,1,1
2,37,1,6,5,1,-9
2,56,1,9,8,1,-9
1,62,1,9,10,1,-9
1,36,1,7,6,1,2
1,76,1,8,10,1,1
1,59,1,4,10,1,1
2,53,3,9,7,1,5
1,78,3,8,9,1,-8
1,61,3,11,10,4,NA
2,61,3,8,8,1,2
2,59,3,11,8,1,1
2,85,3,8,10,1,1
2,75,3,7,10,1,2
2,21,3,6,8,2,5
1,77,3,5,8,1,-9
2,68,3,9,6,2,1
1,65,3,8,9,1,-9
1,74,4,5,10,2,1
2,62,3,9,7,2,-9
2,34,3,7,10,1,1
2,38,3,5,8,2,-9
2,57,3,8,10,1,1
1,57,3,5,9,-9,NA
1,76,2,9,6,1,2
1,41,2,9,6,1,-8
1,72,2,11,9,1,2
1,73,2,9,7,1,2
1,68,2,9,5,1,-8
2,54,2,10,8,2,1
1,61,2,8,7,1,1
2,86,2,5,10,1,2
1,68,2,7,10,1,2
2,64,2,9,7,1,-9
2,91,2,10,7,1,-9
2,59,2,4,6,1,-9
2,76,2,10,10,5,1
2,82,2,9,9,1,1
1,67,2,6,7,1,-9
2,63,2,4,0,1,-8
2,68,2,10,10,1,1
2,80,2,8,2,1,1
1,46,2,6,7,1,2
2,42,5,9,5,1,2
2,30,5,5,5,1,-9
2,73,5,2,5,1,2
1,32,5,9,5,1,-9
2,63,5,7,2,2,7
2,36,5,5,2,2,-9
1,39,5,5,5,1,-9
2,79,5,3,7,1,-9
1,61,5,3,10,1,1
2,62,5,7,5,1,1
1,40,5,5,0,1,4
1,69,5,7,9,1,1
2,43,5,7,8,1,1
2,67,5,7,8,1,-9
2,63,5,5,6,2,-9
2,60,5,11,7,4,NA
1,52,5,9,8,1,-9
1,70,5,-9,8,1,-9
2,35,5,7,10,1,-9
2,43,5,6,6,1,1
2,30,5,3,10,1,-9
2,65,5,4,10,1,2
1,35,5,6,3,1,-9
1,78,5,11,6,1,2
2,60,5,10,3,1,-9
1,75,5,10,8,4,NA
2,42,5,10,5,1,-9
2,62,5,2,8,1,-8
1,60,5,5,9,1,5
1,43,5,10,7,2,1
2,57,5,4,10,1,1
2,56,5,3,0,4,NA
2,54,5,9,4,1,3
1,66,5,9,6,1,-9
1,58,5,7,4,1,6
1,28,5,5,5,1,2
1,57,9,9,6,1,-8
2,75,9,9,5,1,2
1,78,9,7,8,1,2
1,46,9,8,4,1,2
1,47,9,9,9,1,2
1,55,9,5,5,1,5
2,78,9,8,9,1,2
2,60,9,5,10,5,2
1,47,9,9,7,1,2
1,58,9,10,9,1,2
1,57,9,8,9,1,2
1,81,9,7,9,2,2
2,71,9,7,10,1,6
1,61,9,7,10,1,2
1,59,9,4,10,1,2
1,54,9,9,8,1,-9
2,61,9,5,9,1,1
2,57,9,10,10,1,6
2,76,9,7,10,1,2
2,66,9,6,10,1,-8
1,70,9,9,2,2,2
2,78,9,8,10,1,1
2,35,9,9,10,1,2
1,65,9,10,10,1,2
2,42,9,9,10,1,2
1,50,9,5,8,1,2
2,38,9,9,9,1,-8
2,63,9,5,4,2,-9
1,59,9,4,9,1,2
1,72,9,9,9,1,2
1,60,9,11,8,1,2
1,53,10,6,9,2,2
2,62,10,9,9,1,-9
1,67,10,5,3,1,-9
1,73,10,9,10,1,2
2,68,10,9,8,1,-9
2,77,10,8,8,1,2
1,69,10,8,9,1,5
2,84,10,9,10,1,3
1,28,10,6,1,4,NA
1,67,9,9,8,2,2
1,66,10,7,7,1,3
1,49,10,6,9,2,2
2,54,10,5,7,1,5
1,43,10,9,10,1,2
2,70,10,7,8,1,-9
2,31,1,9,7,1,3
2,72,10,10,10,1,2
2,70,10,8,10,1,2
1,80,10,11,7,1,1
1,76,10,6,10,1,5
2,60,10,9,8,1,-9
2,67,10,5,8,1,5
2,57,10,7,10,1,5
1,91,10,4,5,1,1
2,64,10,5,8,1,5
1,78,10,9,9,1,1
2,80,10,9,7,1,-9
2,38,10,8,7,1,1
1,72,10,10,6,1,6
1,56,10,6,2,1,-9
2,95,10,7,10,1,-8
2,50,10,7,9,1,2
1,33,10,5,0,4,NA
1,74,10,3,5,1,-8
2,31,10,7,4,1,3
1,71,10,7,7,1,1
2,72,10,10,9,1,1
1,76,10,4,6,1,1
1,68,10,5,9,2,2
1,73,10,9,7,1,2
1,85,10,5,10,1,2
2,48,10,11,10,1,1
2,54,6,7,5,1,5
1,53,10,4,10,1,-9
2,49,10,7,7,1,-9
2,61,10,9,10,1,5
1,82,10,9,3,1,2
2,67,10,7,10,1,1
2,43,10,7,3,1,3
1,65,10,5,10,5,3
1,70,10,10,8,1,3
2,56,10,11,7,1,1
1,57,10,6,9,1,-8
2,46,10,10,9,1,-9
1,58,10,7,9,1,-9
1,67,10,9,10,1,1
2,59,10,9,7,1,1
2,66,10,7,10,1,-9
1,76,10,11,9,1,-8
1,41,10,10,8,1,2
2,48,10,7,5,1,2
2,42,10,7,7,1,5
1,59,10,5,9,1,3
2,39,10,6,10,1,2
2,55,10,7,6,1,1
1,37,10,9,7,1,-9
2,75,10,5,10,1,2
2,60,10,6,4,2,3
1,48,10,7,9,1,-9
1,55,10,9,8,1,1
1,76,10,7,8,5,2
1,55,10,7,10,1,1
1,32,10,5,8,2,5
2,52,10,10,5,1,1
1,81,10,9,8,1,1
2,73,10,10,9,-9,NA
2,74,10,9,8,1,5
1,67,10,10,8,1,5
2,58,10,8,7,1,5
1,58,10,9,9,1,5
2,63,10,9,6,2,-9
1,41,10,6,5,1,1
2,51,10,9,7,1,2
1,50,10,9,2,2,5
1,20,10,5,7,5,1
2,72,10,8,5,1,-9
2,46,10,4,9,1,5
2,86,10,8,9,1,1
1,50,10,5,7,1,5
1,68,10,10,4,1,-9
1,74,10,10,10,1,1
2,76,10,9,8,1,1
2,67,10,10,10,1,2
1,70,10,11,10,1,2
2,43,10,9,8,1,2
1,50,10,5,9,1,-9
1,70,10,10,7,1,2
2,43,10,9,10,1,5
2,75,10,9,10,1,5
1,20,10,7,8,1,2
1,43,10,9,8,1,2
2,65,10,7,7,1,-9
2,64,10,5,10,1,3
2,49,7,9,9,1,-9
2,50,7,7,10,1,2
1,58,7,4,8,1,5
2,66,7,9,10,1,2
1,73,7,7,10,1,2
1,53,7,7,10,1,2
1,73,7,11,10,1,1
1,62,7,4,8,2,2
1,48,7,6,8,2,2
2,71,7,6,10,1,3
1,36,7,8,5,1,2
2,56,7,5,7,1,2
1,62,7,9,9,1,2
2,69,7,9,9,5,-8
1,71,7,7,5,2,-9
1,72,7,11,6,1,1
2,65,7,8,8,1,3
1,65,7,7,10,1,2
1,77,7,8,8,1,-9
2,59,7,10,9,1,5
1,77,7,6,10,1,1
1,39,7,7,7,1,2
1,73,7,9,0,4,NA
2,71,7,4,8,1,1
1,64,7,4,0,1,-8
2,34,7,5,8,1,2
1,66,7,5,8,1,2
2,66,7,6,10,5,2
1,67,7,7,9,1,1
1,60,7,7,5,5,2
1,56,7,5,10,5,1
1,76,7,5,7,1,2
1,48,7,7,4,3,-9
2,66,7,9,8,1,1
1,61,8,5,0,3,2
1,64,4,9,6,1,2
2,69,4,7,8,5,2
2,90,4,7,9,1,2
2,57,4,7,7,2,-9
2,69,4,10,10,1,5
1,82,4,5,8,1,-8
2,65,4,8,5,1,2
2,69,4,7,8,1,-9
1,74,4,10,8,1,-8
1,37,4,7,7,5,-8
1,65,4,5,10,1,2
2,57,4,6,10,1,2
1,75,4,8,10,1,5
1,60,4,9,8,1,1
1,50,4,11,10,2,2
1,75,4,5,7,1,2
2,35,4,5,7,2,2
2,41,4,7,9,1,-9
1,47,4,7,7,1,1
2,49,4,7,5,1,2
1,68,4,5,10,1,2
2,66,4,9,4,1,-8
2,67,4,7,8,1,1
1,76,4,10,10,1,-9
2,73,4,9,8,5,1
1,66,4,7,4,3,-9
1,62,4,9,5,2,-9
1,76,4,5,8,5,2
1,56,4,5,5,1,2
1,57,4,11,7,1,-9
2,68,4,5,5,1,-9
1,65,1,11,8,1,1
1,74,1,7,10,5,1
2,63,1,9,8,1,-9
2,67,1,9,9,1,-9
2,64,1,11,9,1,1
1,67,1,7,10,1,2
2,56,1,4,6,1,1
2,63,1,10,6,1,-9
1,31,1,-8,5,1,1
2,34,1,10,8,2,1
2,94,1,6,6,2,-9
2,25,1,9,10,1,-9
2,64,1,7,9,1,1
2,67,1,8,8,1,-9
2,77,1,5,7,1,-8
2,64,1,5,10,1,3
2,47,1,10,9,1,3
2,72,1,7,7,2,1
1,70,1,4,5,3,-9
1,54,1,7,7,1,1
1,71,1,7,9,1,2
2,63,1,10,10,1,3
2,53,1,10,10,1,1
2,44,1,9,9,1,3
1,56,1,7,5,1,-9
2,53,1,7,9,1,1
2,81,1,5,4,3,-9
1,65,1,9,7,1,-9
2,42,1,7,6,1,3
1,56,1,8,10,1,2
2,46,1,7,8,1,1
2,59,1,8,8,1,1
2,60,1,6,8,1,-9
1,52,1,7,5,1,-9
1,46,1,6,7,1,2
2,56,3,9,5,2,-9
1,51,3,11,9,1,-9
2,54,3,6,10,1,2
2,70,3,3,0,-9,NA
2,66,3,8,8,1,1
1,60,3,7,10,1,-9
2,62,3,7,5,1,1
2,46,3,10,8,1,1
2,52,3,11,10,1,3
2,44,3,10,6,2,1
2,56,3,7,8,1,-9
1,23,3,7,6,1,3
1,75,3,7,8,1,1
2,57,3,9,6,1,1
1,59,3,11,8,2,2
1,67,3,9,5,1,-9
1,76,3,8,5,1,5
2,56,3,7,5,1,2
1,49,3,9,5,1,1
2,70,3,9,10,1,5
2,70,3,10,7,1,-9
1,52,3,5,10,1,-9
2,79,3,4,10,1,2
2,65,3,5,10,1,2
1,50,3,4,8,1,3
1,25,3,9,8,1,-9
2,28,3,9,10,1,3
1,64,3,9,5,2,1
2,51,3,7,7,1,-8
2,62,3,7,5,2,-9
2,65,3,6,10,1,-9
1,36,6,5,10,1,-9
2,78,6,9,10,1,2
1,75,6,11,9,1,1
1,75,6,6,8,1,2
2,73,6,5,7,1,1
2,61,6,6,7,1,-9
2,92,6,9,7,1,2
2,61,6,5,10,1,1
1,61,6,5,10,1,2
1,46,6,9,7,1,5
2,73,6,8,10,1,1
2,78,6,9,6,1,-9
